category,picture,title,link,product_id,price,color,brand
Men Training,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/b06f531b2f7f4edca16daa5c013aff20_9366/reebok-nano-9.jpg",Reebok Nano 9,https://www.reebok.com/us/reebok-nano-9/FU6828.html,FU6828,130,Black / Neon Red / White,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/df905626fc0a474ba053aa9b0157b563_9366/vb-bolton-sock-shoes.jpg",VB Bolton Sock Shoes,https://www.reebok.com/us/vb-bolton-sock-shoes/FU7522.html,FU7522,280,Solar Yellow / Solar Yellow / Solar Yellow,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/b4e9c5c4c3ed4473a952aaa0017923f7_9366/vb-bolton-sock-shoes.jpg",VB Bolton Sock Shoes,https://www.reebok.com/us/vb-bolton-sock-shoes/FU7523.html,FU7523,280,White / White / White,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/64d71dbbfef640b69dacaa5c016e82f7_9366/vb-bolton-lo-shoes.jpg",VB Bolton Lo Shoes,https://www.reebok.com/us/vb-bolton-lo-shoes/FU7527.html,FU7527,250,White / White / White,Reebok
Men Training,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/a11507a693ed45a3962baa77011c7a36_9366/reebok-speed-tr-flexweave.jpg",Reebok Speed TR Flexweave®,https://www.reebok.com/us/reebok-speed-tr-flexweave/FU7536.html,FU7536,100,Cold Grey 6 / Primal Red / Cold Grey,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/8bf060750a8e4439badbaa7f011d8dfb_9366/vb-bolton-sock-low-shoes.jpg",VB Bolton Sock Low Shoes,https://www.reebok.com/us/vb-bolton-sock-low-shoes/FU7551.html,FU7551,250,Soft Camel / Paperwhite / Solar Yellow,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/3ae8d098f0ee421fabebaaab00ea5b2b_9366/vb-bolton-sock-low-shoes.jpg",VB Bolton Sock Low Shoes,https://www.reebok.com/us/vb-bolton-sock-low-shoes/FU7553.html,FU7553,250,White / White / White,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/f254899c663446e3ab37aaab00e9f7fb_9366/vb-bolton-sock-low-shoes.jpg",VB Bolton Sock Low Shoes,https://www.reebok.com/us/vb-bolton-sock-low-shoes/FU7554.html,FU7554,250,Solar Yellow / Solar Yellow / Solar Yellow,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/1fe424e024f44916adcaaa7f011d1749_9366/vb-bolton-sock-low-shoes.jpg",VB Bolton Sock Low Shoes,https://www.reebok.com/us/vb-bolton-sock-low-shoes/FU7555.html,FU7555,250,Night Navy / White / Solar Yellow,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/e10863e9255b4ec39f1daa6b0115a36b_9366/classic-leather-shoes.jpg",Classic Leather Shoes,https://www.reebok.com/us/classic-leather-shoes/FU7822.html,FU7822,85,Army Green / Black / None,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/d009a9bcfc3c49e29d9daa8d017961f0_9366/classic-leather-rc-1.0-shoes.jpg",Classic Leather RC 1.0 Shoes,https://www.reebok.com/us/classic-leather-rc-1.0-shoes/FU7824.html,FU7824,80,Skull Grey / Solid Teal / Neon Lime,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/d0f61f3a73c04cad9cb3aa8c013bc59f_9366/classic-leather-ati-shroud-shoes.jpg",Classic Leather ATI Shroud Shoes,https://www.reebok.com/us/classic-leather-ati-shroud-shoes/FU8432.html,FU8432,100,Skull Grey / Neon Lime / Crushed Cobalt,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/8a822b5359354bf08d68aa8c013c7934_9366/classic-leather-ati-shroud-shoes.jpg",Classic Leather ATI Shroud Shoes,https://www.reebok.com/us/classic-leather-ati-shroud-shoes/FU8433.html,FU8433,100,Buff / Neon Lime / Mineral Mist,Reebok
