id,分類,連結
0,服裝,https://www.amazon.com/s/ref=s9_acss_bw_cts_AEMFVNEN_T1_w?rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&bbn=16225019011&ie=UTF8&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_t=101&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_i=16225019011
1,鞋,https://www.amazon.com/s/ref=s9_acss_bw_cts_AEMFVNEN_T2_w?rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A679255011&bbn=16225019011&ie=UTF8&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_t=101&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_i=16225019011
2,手錶,https://www.amazon.com/s/ref=s9_acss_bw_cts_AEMFVNEN_T3_w?rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A6358539011&bbn=16225019011&ie=UTF8&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_t=101&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_i=16225019011
3,配件,https://www.amazon.com/s/ref=s9_acss_bw_cts_AEMFVNEN_T4_w?rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A2474937011&bbn=16225019011&ie=UTF8&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_t=101&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_i=16225019011
4,高大尺碼,https://www.amazon.com/s/ref=s9_acss_bw_cts_AEMFVN2E_T1_w?rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A7581681011&bbn=16225019011&ie=UTF8&qid=1489098895&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_t=101&pf_rd_p=78fda48d-6540-4846-99ae-f74106f19a03&pf_rd_i=16225019011
5,當季,https://www.amazon.com/s/ref=s9_acss_bw_cts_AEMFVN2E_T2_w?rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A11307730011&bbn=16225019011&ie=UTF8&qid=1489098895&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_t=101&pf_rd_p=78fda48d-6540-4846-99ae-f74106f19a03&pf_rd_i=16225019011
6,制服,https://www.amazon.com/s/ref=s9_acss_bw_cts_AEMFVN2E_T3_w?rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A7581682011&bbn=16225019011&ie=UTF8&qid=1489098895&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_t=101&pf_rd_p=78fda48d-6540-4846-99ae-f74106f19a03&pf_rd_i=16225019011
7,"Surf, Skate & Street",https://www.amazon.com/s/ref=s9_acss_bw_cts_AEMFVN2E_T4_w?rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A9564525011&bbn=16225019011&ie=UTF8&qid=1489098895&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_t=101&pf_rd_p=78fda48d-6540-4846-99ae-f74106f19a03&pf_rd_i=16225019011
